,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.0,22.0,14.0,17.0,23.0,2.5,2.5
2,4233.0,6456.0,22760.0,29645.0,39526.0,42820.0,42820.0
3,1.0,22.0,37.0,30.0,24.0,26.0,30.0
4,0.0,1.0,0.0,0.0,2.0,1.0,2.0
5,0.0,1.0,0.0,0.0,2.0,0.0,0.0
6,0.0,1635.0,0.0,0.0,881.0,2091.0,982.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,1.0,17.0,38.0,22.0,21.0,36.0,58.0
9,0.0,6.0,15.0,9.0,8.0,5.0,6.0
10,60.0,1635.0,3131.0,1727.0,1762.0,2091.0,1963.0
11,100.0,77.0,100.0,67.0,79.0,96.0,73.0
12,1.0,16.0,0.0,15.0,7.0,6.0,9.0
13,3.0,59.0,97.0,79.0,86.0,76.0,88.0
14,0.0,1.0,8.0,3.0,5.0,6.0,2.0
15,0.0,0.0,0.0,2.0,0.0,0.0,0.0
16,0.0,59.0,62.0,60.0,42.0,23.0,27.0
17,0.0,14.0,24.0,17.0,25.0,31.0,10.0
18,100.0,27.0,14.0,23.0,33.0,46.0,63.0
