,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,3.75,20.0,15.0,19.0,21.0,26.0,10.0,23.0,18.889
2,45000.0,45000.0,45000.0,45000.0,50000.0,50000.0,50000.0,50000.0,50000.0
3,22.0,23.0,12.0,24.0,12.0,31.0,14.0,10.0,11.0
4,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
6,0.0,1571.0,0.0,2160.0,0.0,1251.0,1102.0,0.0,830.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,28.0,20.0,3.0,33.0,14.0,52.0,15.0,10.0,9.0
9,6.0,8.0,7.0,7.0,3.0,5.0,3.0,4.0,3.0
10,1642.0,1571.0,321.0,2160.0,865.0,2502.0,1102.0,753.0,830.0
11,82.0,74.0,17.0,100.0,83.0,94.0,93.0,80.0,82.0
12,4.0,9.0,27.0,2.0,9.0,4.0,6.0,10.0,8.0
13,58.0,61.0,32.0,69.0,32.0,82.0,37.0,26.0,65.0
14,0.0,8.0,2.0,4.0,1.0,9.0,5.0,0.0,1.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,23.0,57.0,67.0,17.0,50.0,23.0,29.0,60.0,36.0
17,36.0,22.0,17.0,29.0,17.0,16.0,43.0,20.0,27.0
18,41.0,22.0,17.0,54.0,33.0,61.0,29.0,20.0,36.0
