,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,6.0,6.875,1.5,3.0,24.0
2,1186.0,2619.0,4068.0,18116.0,18116.0
3,10.0,33.0,33.0,7.0,32.0
4,2.0,9.0,12.0,0.0,15.0
5,0.0,3.0,4.0,0.0,3.0
6,161.0,314.0,248.0,0.0,172.0
7,0.0,0.0,0.0,0.0,0.0
8,5.0,35.0,39.0,1.0,32.0
9,3.0,12.0,14.0,1.0,12.0
10,321.0,2822.0,2970.0,124.0,2578.0
11,30.0,100.0,100.0,14.0,100.0
12,19.0,0.0,0.0,22.0,1.0
13,29.0,97.0,97.0,21.0,94.0
14,1.0,4.0,4.0,1.0,2.0
15,0.0,0.0,0.0,0.0,0.0
16,50.0,67.0,52.0,29.0,63.0
17,40.0,12.0,21.0,14.0,16.0
18,10.0,21.0,27.0,57.0,22.0
