,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,14.0,18.0,14.222,11.0,12.833,17.0,17.0
2,3047.0,3689.0,24391.0,37320.0,37056.0,62583.0,62583.0
3,9.0,29.0,22.0,22.0,13.0,13.0,22.0
4,0.0,0.0,0.0,1.0,0.0,0.0,3.0
5,1.0,3.0,1.0,2.0,0.0,1.0,3.0
6,0.0,0.0,0.0,1824.0,0.0,0.0,381.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.0,49.0,21.0,35.0,19.0,6.0,15.0
9,2.0,4.0,8.0,3.0,3.0,6.0,7.0
10,542.0,2452.0,1177.0,1824.0,889.0,541.0,1143.0
11,56.0,93.0,45.0,95.0,77.0,38.0,55.0
12,9.0,5.0,22.0,14.0,6.0,15.0,18.0
13,26.0,85.0,65.0,63.0,46.0,38.0,65.0
14,1.0,1.0,1.0,3.0,3.0,3.0,3.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,56.0,34.0,41.0,14.0,38.0,69.0,55.0
17,0.0,24.0,32.0,18.0,15.0,15.0,18.0
18,44.0,41.0,27.0,68.0,46.0,15.0,27.0
