,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,4.0,17.0,10.0,10.0,19.0
2,12550.0,12978.0,17391.0,17457.0,14822.0,41173.0
3,26.0,31.0,20.0,23.0,14.0,33.0
4,2.0,3.0,4.0,2.0,0.0,4.0
5,1.0,8.0,2.0,1.0,0.0,3.0
6,706.0,790.0,257.0,803.0,0.0,451.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,7.0,15.0,10.0,10.0,4.0,22.0
9,16.0,14.0,8.0,10.0,8.0,11.0
10,1411.0,2369.0,1026.0,1606.0,465.0,1802.0
11,62.0,94.0,65.0,83.0,36.0,64.0
12,16.0,5.0,20.0,8.0,14.0,14.0
13,76.0,91.0,59.0,68.0,41.0,87.0
14,2.0,1.0,4.0,4.0,0.0,5.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,69.0,74.0,80.0,70.0,57.0,33.0
17,23.0,19.0,10.0,17.0,21.0,24.0
18,8.0,6.0,10.0,13.0,21.0,42.0
