,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,10.0,10.0,10.0
2,18363.0,19417.0,30468.0,36891.0,36891.0
3,33.0,12.0,20.0,25.0,9.0
4,1.0,0.0,0.0,1.0,0.0
5,0.0,0.0,0.0,1.0,0.0
6,2941.0,0.0,0.0,2109.0,0.0
7,0.0,0.0,1.0,0.0,0.0
8,42.0,15.0,22.0,23.0,11.0
9,9.0,3.0,4.0,7.0,0.0
10,2941.0,1064.0,1573.0,2109.0,622.0
11,100.0,92.0,80.0,92.0,78.0
12,1.0,22.0,21.0,14.0,26.0
13,87.0,32.0,30.0,250.0,24.0
14,11.0,4.0,7.0,6.0,2.0
15,0.0,0.0,0.0,0.0,0.0
16,24.0,42.0,20.0,32.0,22.0
17,36.0,17.0,30.0,36.0,22.0
18,39.0,42.0,50.0,32.0,56.0
