,2013-2014,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,19.0,19.0,19.0,10.0,9.0
2,313.0,32197.0,33992.0,33927.0,42161.0,33762.0
3,30.0,38.0,31.0,14.0,15.0,22.0
4,3.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,1.0,0.0,0.0,0.0
6,697.0,0.0,0.0,0.0,0.0,1673.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,47.0,54.0,41.0,9.0,2.0,16.0
9,4.0,7.0,6.0,2.0,5.0,8.0
10,2090.0,3054.0,2489.0,752.0,155.0,1673.0
11,73.0,89.0,87.0,64.0,0.0,86.0
12,8.0,4.0,6.0,10.0,33.0,10.0
13,79.0,100.0,82.0,74.0,39.0,58.0
14,1.0,3.0,1.0,0.0,2.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,43.0,34.0,26.0,71.0,67.0,64.0
17,17.0,26.0,29.0,7.0,7.0,18.0
18,40.0,39.0,45.0,21.0,27.0,18.0
