,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,8.25,22.0,25.0,30.0,24.0,20.0,15.0
2,1252.0,47283.0,195753.0,197631.0,329384.0,329384.0,329384.0
3,26.0,32.0,17.0,29.0,5.0,30.0,21.0
4,12.0,6.0,3.0,8.0,1.0,6.0,1.0
5,5.0,12.0,6.0,5.0,0.0,3.0,12.0
6,161.0,340.0,309.0,208.0,357.0,298.0,1412.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,33.0,29.0,14.0,13.0,2.0,19.0,14.0
9,4.0,7.0,6.0,13.0,1.0,11.0,5.0
10,1933.0,2037.0,927.0,1661.0,357.0,1785.0,1412.0
11,85.0,69.0,71.0,69.0,60.0,63.0,71.0
12,4.0,11.0,8.0,9.0,2.0,14.0,8.0
13,100.0,94.0,47.0,76.0,13.0,79.0,55.0
14,1.0,7.0,2.0,1.0,1.0,2.0,3.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,35.0,50.0,71.0,72.0,80.0,60.0,62.0
17,31.0,31.0,24.0,21.0,0.0,17.0,19.0
18,35.0,19.0,6.0,7.0,20.0,23.0,19.0
