,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,13.3,13.3,13.3,13.5,2.5,20.0,17.0,16.0
2,1910.0,3096.0,6884.0,14592.0,15102.0,18297.0,10705.0,18281.0,18281.0
3,3.0,37.0,36.0,2.0,37.0,35.0,6.0,15.0,5.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,55.0,43.0,4.0,38.0,64.0,5.0,21.0,5.0
9,1.0,8.0,11.0,0.0,14.0,8.0,2.0,2.0,2.0
10,270.0,3330.0,3240.0,180.0,3201.0,3150.0,525.0,1261.0,450.0
11,100.0,100.0,100.0,100.0,100.0,100.0,83.0,87.0,100.0
12,0.0,0.0,2.0,18.0,0.0,0.0,32.0,25.0,32.0
13,8.0,97.0,95.0,10.0,97.0,92.0,16.0,39.0,13.0
14,0.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,67.0,16.0,28.0,50.0,43.0,14.0,67.0,60.0,0.0
17,0.0,43.0,33.0,50.0,24.0,26.0,0.0,13.0,60.0
18,33.0,41.0,39.0,0.0,32.0,60.0,33.0,27.0,40.0
