,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,25.0,17.0,27.0,10.0,14.0
2,11677.0,12088.0,76252.0,74441.0,55995.0,98815.0
3,32.0,22.0,24.0,22.0,29.0,27.0
4,11.0,2.0,3.0,10.0,8.0,24.0
5,2.0,0.0,0.0,2.0,1.0,4.0
6,131.0,496.0,438.0,130.0,233.0,87.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,4.0,16.0,15.0,21.0,34.0
9,6.0,9.0,6.0,6.0,8.0,5.0
10,1443.0,991.0,1314.0,1298.0,1867.0,2076.0
11,44.0,45.0,63.0,68.0,69.0,96.0
12,24.0,18.0,20.0,9.0,9.0,1.0
13,84.0,61.0,63.0,71.0,85.0,79.0
14,1.0,0.0,4.0,3.0,4.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,28.0,45.0,50.0,45.0,34.0,59.0
17,31.0,36.0,25.0,45.0,34.0,19.0
18,41.0,18.0,25.0,9.0,31.0,22.0
