,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15,19,21,26,8.5,8.5,8.5
2,2000,25000,70000,70000,120000,120000,120000
3,13,26,26,35,25,30,28
4,2,3,3,3,1,1,2
5,2,3,5,6,0,3,2
6,313,485,610,657,1523,1543,1018
7,0,0,0,0,0,0,0
8,6,20,26,32,29,21,38
9,8,8,9,8,4,8,7
10,626,1456,1830,1970,1523,1543,2036
11,62,69,85,63,76,57,79
12,13,17,14,14,11,18,13
13,46,68,68,92,66,79,74
14,0,1,1,0,0,0,1
15,0,0,0,0,0,0,0
16,46,58,42,54,28,43,39
17,38,15,15,20,24,23,14
18,15,27,42,26,48,33,46
