,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,4.0,4.0,15.0,25.0,10.0,9.0
2,4578.0,8762.0,33202.0,48798.0,48749.0,67030.0,67030.0
3,28.0,32.0,36.0,36.0,15.0,37.0,33.0
4,5.0,5.0,10.0,5.0,2.0,9.0,3.0
5,2.0,7.0,4.0,6.0,2.0,4.0,4.0
6,209.0,463.0,282.0,510.0,371.0,215.0,549.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12.0,40.0,50.0,20.0,8.0,26.0,16.0
9,6.0,6.0,10.0,16.0,3.0,14.0,14.0
10,1046.0,2315.0,2817.0,2550.0,742.0,1936.0,1646.0
11,39.0,78.0,92.0,86.0,60.0,59.0,61.0
12,27.0,7.0,5.0,5.0,8.0,16.0,15.0
13,74.0,84.0,95.0,95.0,88.0,97.0,87.0
14,3.0,6.0,1.0,4.0,1.0,3.0,3.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,39.0,38.0,31.0,53.0,60.0,62.0,67.0
17,36.0,19.0,28.0,25.0,13.0,14.0,15.0
18,25.0,44.0,42.0,22.0,27.0,24.0,18.0
