,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,15.0,9.0,8.714,4.0,2.5,2.5,19.0,12.0
2,7131.0,7131.0,18578.0,30732.0,19565.0,19763.0,19763.0,21575.0,21575.0
3,25.0,29.0,24.0,10.0,26.0,24.0,14.0,11.0,18.0
4,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
6,2198.0,2557.0,2034.0,0.0,1151.0,0.0,1260.0,0.0,0.0
7,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
8,32.0,25.0,23.0,17.0,38.0,41.0,29.0,4.0,8.0
9,7.0,11.0,7.0,4.0,5.0,7.0,3.0,8.0,10.0
10,2198.0,2557.0,2034.0,761.0,2301.0,2068.0,1260.0,653.0,1066.0
11,100.0,100.0,96.0,80.0,100.0,100.0,100.0,55.0,61.0
12,0.0,1.0,10.0,20.0,0.0,0.0,7.0,29.0,11.0
13,74.0,88.0,63.0,26.0,76.0,71.0,41.0,31.0,47.0
14,7.0,3.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,60.0,86.0,29.0,30.0,31.0,29.0,21.0,73.0,56.0
17,12.0,3.0,46.0,20.0,35.0,25.0,36.0,9.0,39.0
18,28.0,10.0,25.0,50.0,35.0,46.0,43.0,18.0,6.0
