,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,17.0,9.0,10.0,10.0,10.0,10.0,10.0
2,1367.0,27635.0,58153.0,55864.0,60047.0,56160.0,98321.0,98321.0
3,19.0,25.0,38.0,38.0,38.0,38.0,38.0,38.0
4,1.0,8.0,5.0,7.0,13.0,6.0,6.0,8.0
5,0.0,1.0,6.0,6.0,4.0,1.0,6.0,5.0
6,1307.0,206.0,554.0,408.0,233.0,490.0,398.0,347.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12.0,18.0,32.0,41.0,39.0,30.0,31.0,25.0
9,8.0,10.0,10.0,11.0,10.0,12.0,9.0,13.0
10,1307.0,1649.0,2771.0,2853.0,3026.0,2941.0,2386.0,2776.0
11,79.0,84.0,82.0,82.0,95.0,89.0,71.0,84.0
12,7.0,5.0,7.0,7.0,2.0,4.0,11.0,6.0
13,50.0,66.0,100.0,100.0,100.0,58.0,380.0,100.0
14,1.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,47.0,44.0,50.0,26.0,34.0,34.0,29.0,37.0
17,26.0,32.0,16.0,34.0,37.0,32.0,34.0,34.0
18,26.0,24.0,34.0,39.0,29.0,34.0,37.0,29.0
