,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,11.833,11.833,12,7,4,4,20
2,165,8268,24144,21344,21410,21410,91569
3,2,25,21,29,33,34,31
4,0,2,0,2,0,4,3
5,0,1,0,4,2,2,4
6,0,847,0,924,0,721,719
7,0,0,0,0,1,0,0
8,3,19,10,34,43,47,22
9,1,9,7,7,6,8,11
10,94,1693,682,1847,2601,2882,2158
11,50,68,24,72,94,94,74
12,14,19,33,16,6,2,8
13,5,66,55,76,87,89,82
14,1,7,4,6,9,9,6
15,0,0,0,0,0,0,0
16,0,56,52,21,39,50,48
17,50,28,24,38,27,26,29
18,50,16,24,41,33,24,23
