,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,1.0,13.857,15.0,25.0,9.0,18.0
2,4908.0,6423.0,36216.0,91503.0,91569.0,91569.0,91569.0
3,3.0,35.0,38.0,35.0,32.0,32.0,35.0
4,0.0,0.0,4.0,0.0,0.0,3.0,3.0
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,0.0,855.0,0.0,0.0,926.0,1050.0
7,0.0,0.0,1.0,1.0,1.0,0.0,0.0
8,4.0,45.0,30.0,32.0,30.0,24.0,32.0
9,0.0,6.0,17.0,15.0,11.0,13.0,12.0
10,107.0,2997.0,3420.0,3150.0,2628.0,2777.0,3150.0
11,67.0,97.0,100.0,100.0,94.0,97.0,100.0
12,13.0,2.0,0.0,3.0,4.0,4.0,3.0
13,18.0,92.0,100.0,92.0,84.0,84.0,92.0
14,0.0,5.0,2.0,5.0,8.0,1.0,3.0
15,1.0,1.0,0.0,0.0,1.0,0.0,0.0
16,33.0,29.0,53.0,51.0,66.0,75.0,66.0
17,0.0,31.0,32.0,26.0,25.0,19.0,23.0
18,67.0,40.0,16.0,23.0,9.0,6.0,11.0
