,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10,11,16,6,3,16,16,16
2,576,8251,10623,10985,75000,75000,75000,75000
3,26,23,40,36,19,38,33,30
4,2,1,5,1,2,4,1,2
5,0,1,0,3,0,0,0,2
6,800,1879,720,3055,734,699,2502,975
7,0,0,0,1,0,1,1,0
8,14,22,36,52,21,34,33,29
9,13,8,18,9,4,13,10,9
10,1600,1879,3600,3055,1467,2794,2502,1950
11,65,96,100,97,89,84,85,70
12,10,3,0,1,10,6,6,16
13,65,58,100,90,50,100,87,79
14,2,4,4,7,1,5,4,4
15,1,0,0,2,0,0,0,0
16,65,57,60,53,53,39,36,43
17,15,26,25,17,21,37,21,17
18,19,17,15,31,26,24,42,40
