,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,14.0,13.0,26.0,1.5,27.0,13.0,19.0,22.0
2,12648.0,100000.0,75000.0,75000.0,75000.0,25692.0,32938.0,32938.0,32938.0
3,29.0,25.0,35.0,23.0,7.0,34.0,20.0,23.0,34.0
4,1.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0
5,0.0,2.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0
6,2537.0,1086.0,3114.0,1830.0,0.0,594.0,0.0,1958.0,2807.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21.0,26.0,35.0,17.0,0.0,30.0,18.0,18.0,19.0
9,14.0,7.0,15.0,10.0,7.0,15.0,7.0,10.0,22.0
10,2537.0,2171.0,3114.0,1830.0,361.0,2969.0,1744.0,1958.0,2807.0
11,100.0,100.0,100.0,87.0,57.0,100.0,95.0,100.0,94.0
12,0.0,0.0,2.0,15.0,14.0,0.0,1.0,0.0,2.0
13,85.0,71.0,92.0,61.0,18.0,100.0,80.0,68.0,100.0
14,4.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,59.0,56.0,49.0,48.0,100.0,82.0,75.0,78.0,76.0
17,31.0,20.0,23.0,39.0,0.0,6.0,10.0,13.0,15.0
18,10.0,24.0,29.0,13.0,0.0,12.0,15.0,9.0,9.0
