,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,18.0,14.0,18.0,14.222,5.0,27.0,17.0,17.0
2,40317.0,32560.0,39263.0,65251.0,57445.0,57642.0,57642.0,57642.0
3,13.0,22.0,30.0,26.0,27.0,11.0,27.0,27.0
4,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0
5,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0
6,0.0,582.0,2539.0,2018.0,1058.0,338.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7.0,22.0,45.0,37.0,22.0,6.0,15.0,23.0
9,7.0,7.0,5.0,5.0,12.0,3.0,13.0,7.0
10,720.0,1747.0,2539.0,2018.0,2115.0,676.0,1931.0,1901.0
11,62.0,86.0,93.0,85.0,93.0,73.0,89.0,93.0
12,7.0,3.0,2.0,7.0,2.0,6.0,6.0,6.0
13,76.0,69.0,88.0,81.0,79.0,32.0,79.0,79.0
14,2.0,4.0,4.0,3.0,4.0,1.0,6.0,4.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,46.0,55.0,27.0,46.0,59.0,55.0,59.0,37.0
17,31.0,18.0,23.0,27.0,26.0,36.0,26.0,26.0
18,23.0,27.0,50.0,27.0,15.0,9.0,15.0,37.0
