,2015-2016,2016-2017,2018-2019,2019-2020,2020-2021,2021-2022
1,3.625,4.0,3.625,6.0,10.0,10.0
2,3212.0,3837.0,8580.0,6917.0,10211.0,10211.0
3,11.0,1.0,14.0,12.0,30.0,28.0
4,1.0,0.0,0.0,0.0,2.0,4.0
5,1.0,0.0,1.0,0.0,2.0,0.0
6,773.0,0.0,0.0,0.0,1280.0,589.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,1.0,12.0,8.0,28.0,32.0
9,1.0,0.0,6.0,3.0,11.0,8.0
10,773.0,42.0,860.0,640.0,2560.0,2355.0
11,73.0,0.0,71.0,50.0,97.0,93.0
12,11.0,11.0,18.0,19.0,3.0,2.0
13,29.0,3.0,37.0,46.0,88.0,82.0
14,4.0,0.0,1.0,0.0,1.0,2.0
15,1.0,0.0,0.0,0.0,0.0,0.0
16,36.0,0.0,36.0,42.0,63.0,75.0
17,18.0,100.0,29.0,33.0,27.0,7.0
18,45.0,0.0,36.0,25.0,10.0,18.0
