,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,20.556,13.0,26.0,20.0,19.0,31.0,24.0,19.0
2,40547.0,115000.0,115000.0,115000.0,115000.0,115000.0,128460.0,128460.0,128460.0
3,33.0,26.0,26.0,31.0,26.0,22.0,8.0,31.0,19.0
4,5.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0
5,5.0,4.0,2.0,6.0,2.0,3.0,1.0,3.0,1.0
6,510.0,312.0,481.0,2465.0,0.0,702.0,548.0,1852.0,363.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,27.0,23.0,15.0,18.0,14.0,18.0,7.0,11.0,11.0
9,11.0,8.0,12.0,14.0,13.0,6.0,5.0,16.0,8.0
10,2550.0,1869.0,1443.0,2465.0,1268.0,1403.0,548.0,1852.0,1089.0
11,94.0,73.0,62.0,87.0,50.0,73.0,75.0,58.0,63.0
12,2.0,13.0,16.0,7.0,20.0,9.0,6.0,14.0,13.0
13,87.0,68.0,68.0,82.0,68.0,58.0,30.0,82.0,50.0
14,5.0,6.0,4.0,6.0,5.0,4.0,0.0,6.0,2.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,55.0,58.0,54.0,45.0,65.0,59.0,75.0,74.0,84.0
17,30.0,15.0,23.0,42.0,15.0,27.0,13.0,13.0,11.0
18,15.0,27.0,23.0,13.0,19.0,14.0,13.0,13.0,5.0
