,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,1.5,2.75,22.0,1.5,27.0,13.0,33.0,25.0
2,2602.0,5007.0,10112.0,14592.0,15399.0,29974.0,29974.0,100000.0,100000.0
3,31.0,31.0,33.0,28.0,34.0,29.0,21.0,23.0,23.0
4,9.0,11.0,17.0,7.0,9.0,16.0,6.0,2.0,4.0
5,9.0,14.0,10.0,11.0,15.0,13.0,13.0,3.0,3.0
6,257.0,247.0,174.0,342.0,338.0,150.0,268.0,586.0,330.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,41.0,42.0,64.0,16.0,32.0,24.0,15.0,7.0,12.0
9,4.0,6.0,6.0,13.0,12.0,14.0,6.0,12.0,12.0
10,2314.0,2718.0,2951.0,2393.0,3041.0,2401.0,1607.0,1172.0,1320.0
11,87.0,100.0,100.0,100.0,100.0,100.0,100.0,65.0,61.0
12,4.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,22.0
13,91.0,97.0,97.0,93.0,100.0,85.0,84.0,61.0,61.0
14,7.0,3.0,6.0,2.0,4.0,2.0,1.0,3.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,45.0,42.0,33.0,75.0,74.0,79.0,76.0,43.0,57.0
17,26.0,26.0,21.0,18.0,12.0,7.0,10.0,35.0,22.0
18,29.0,32.0,45.0,7.0,15.0,14.0,14.0,22.0,22.0
