,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,3.0,11.833,12.0,7.0
2,247.0,5534.0,21410.0,21081.0,21081.0
3,10.0,30.0,13.0,32.0,35.0
4,0.0,0.0,1.0,2.0,1.0
5,1.0,6.0,0.0,4.0,3.0
6,0.0,0.0,683.0,1008.0,1839.0
7,0.0,0.0,0.0,0.0,0.0
8,10.0,26.0,9.0,25.0,21.0
9,1.0,7.0,3.0,11.0,16.0
10,594.0,1978.0,683.0,2016.0,1839.0
11,70.0,73.0,46.0,84.0,63.0
12,3.0,13.0,10.0,5.0,16.0
13,100.0,75.0,76.0,84.0,92.0
14,2.0,5.0,3.0,6.0,2.0
15,0.0,0.0,1.0,1.0,0.0
16,40.0,40.0,62.0,66.0,71.0
17,0.0,27.0,38.0,19.0,20.0
18,60.0,33.0,0.0,16.0,9.0
