,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,29.0,19.0,14.0,23.0,25.0,30.0,8.5,8.5,8.5
2,6835.0,28294.0,28656.0,102455.0,106045.0,112212.0,112308.0,112308.0,112308.0
3,10.0,20.0,26.0,14.0,31.0,33.0,23.0,4.0,15.0
4,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0
5,0.0,0.0,0.0,0.0,6.0,8.0,4.0,1.0,0.0
6,0.0,0.0,0.0,949.0,1349.0,1457.0,501.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,5.0,17.0,7.0,19.0,31.0,19.0,3.0,12.0
9,6.0,13.0,13.0,9.0,12.0,14.0,12.0,2.0,6.0
10,742.0,1207.0,2264.0,949.0,2698.0,2914.0,2003.0,282.0,762.0
11,70.0,60.0,96.0,71.0,100.0,100.0,100.0,100.0,60.0
12,3.0,12.0,4.0,18.0,0.0,0.0,2.0,0.0,15.0
13,33.0,59.0,76.0,41.0,91.0,97.0,68.0,12.0,44.0
14,3.0,6.0,5.0,0.0,7.0,6.0,8.0,2.0,2.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16,80.0,80.0,85.0,79.0,74.0,82.0,74.0,100.0,67.0
17,10.0,20.0,4.0,7.0,16.0,9.0,13.0,0.0,7.0
18,10.0,0.0,12.0,14.0,10.0,9.0,13.0,0.0,27.0
