,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,6.333,5,6,2,4,19,19
2,2652,2866,6555,6785,3574,3623,4282,4282
3,17,3,8,15,16,15,32,29
4,5,0,1,1,1,0,0,0
5,0,0,0,0,0,0,1,0
6,224,0,180,1239,1306,0,0,0
7,0,0,0,0,0,1,0,0
8,20,4,1,14,29,14,41,19
9,2,0,5,5,3,3,8,12
10,1119,143,180,1239,1306,755,2701,1412
11,71,67,13,100,94,47,100,45
12,6,6,28,16,1,17,1,18
13,50,20,24,44,94,60,84,76
14,2,0,1,1,2,0,12,10
15,1,0,0,0,0,0,0,0
16,35,0,63,53,50,60,31,34
17,24,33,13,27,6,20,34,31
18,41,67,25,20,44,20,34,34
