,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.6,17.0,5.0,27.0,17.0,26.0
2,12286.0,39147.0,39526.0,41173.0,41173.0,164692.0
3,12.0,28.0,15.0,28.0,29.0,28.0
4,0.0,3.0,0.0,0.0,1.0,1.0
5,0.0,0.0,0.0,1.0,1.0,6.0
6,0.0,756.0,0.0,0.0,2330.0,2212.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,13.0,36.0,17.0,32.0,26.0,27.0
9,3.0,4.0,5.0,8.0,12.0,8.0
10,666.0,2267.0,1293.0,2358.0,2330.0,2212.0
11,67.0,89.0,93.0,96.0,93.0,89.0
12,10.0,4.0,4.0,1.0,3.0,7.0
13,67.0,82.0,44.0,82.0,85.0,82.0
14,3.0,3.0,5.0,7.0,6.0,4.0
15,0.0,1.0,0.0,1.0,0.0,0.0
16,42.0,50.0,47.0,50.0,48.0,75.0
17,17.0,18.0,20.0,36.0,28.0,14.0
18,42.0,32.0,33.0,14.0,24.0,11.0
