,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,18.0,18.0,22.0,10.0
2,40646.0,41025.0,41173.0,41173.0,41173.0
3,11.0,25.0,29.0,28.0,26.0
4,0.0,1.0,0.0,2.0,1.0
5,0.0,0.0,1.0,0.0,0.0
6,0.0,2205.0,0.0,1175.0,2261.0
7,0.0,0.0,1.0,0.0,1.0
8,15.0,35.0,31.0,37.0,44.0
9,4.0,6.0,13.0,7.0,3.0
10,904.0,2205.0,2307.0,2349.0,2261.0
11,91.0,100.0,86.0,93.0,96.0
12,5.0,0.0,6.0,2.0,1.0
13,69.0,74.0,85.0,82.0,76.0
14,2.0,1.0,2.0,4.0,3.0
15,0.0,0.0,0.0,0.0,0.0
16,55.0,72.0,66.0,57.0,65.0
17,18.0,12.0,17.0,11.0,4.0
18,27.0,16.0,17.0,32.0,31.0
