,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15.0,15.0,15.0,15.0,15.0
2,25000.0,25000.0,25000.0,35000.0,35000.0
3,21.0,18.0,21.0,13.0,19.0
4,0.0,0.0,0.0,0.0,1.0
5,1.0,3.0,1.0,0.0,2.0
6,0.0,0.0,0.0,0.0,1260.0
7,0.0,0.0,0.0,0.0,0.0
8,31.0,16.0,21.0,14.0,27.0
9,4.0,6.0,7.0,3.0,3.0
10,1758.0,1099.0,1602.0,825.0,1260.0
11,95.0,67.0,86.0,77.0,79.0
12,18.0,23.0,8.0,19.0,15.0
13,55.0,47.0,55.0,34.0,50.0
14,2.0,2.0,5.0,1.0,5.0
15,0.0,0.0,0.0,0.0,0.0
16,24.0,33.0,29.0,38.0,26.0
17,14.0,28.0,33.0,23.0,26.0
18,62.0,39.0,38.0,38.0,47.0
