,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,17.0,16.0,11.833,5.0,13.0,25.0,17.0,24.0,23.0
2,24391.0,67837.0,57263.0,55040.0,58883.0,60426.0,61002.0,106720.0,106720.0
3,37.0,6.0,18.0,16.0,32.0,33.0,28.0,10.0,27.0
4,16.0,0.0,3.0,8.0,8.0,7.0,11.0,1.0,3.0
5,4.0,0.0,4.0,2.0,3.0,4.0,3.0,1.0,0.0
6,176.0,0.0,398.0,149.0,204.0,308.0,191.0,572.0,351.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.0,6.0,14.0,9.0,19.0,19.0,24.0,8.0,14.0
9,12.0,0.0,4.0,3.0,11.0,16.0,9.0,3.0,10.0
10,2823.0,213.0,1194.0,1192.0,1628.0,2153.0,2104.0,572.0,1054.0
11,92.0,17.0,78.0,94.0,59.0,76.0,82.0,60.0,30.0
12,3.0,5.0,9.0,2.0,18.0,11.0,9.0,6.0,23.0
13,97.0,16.0,47.0,94.0,84.0,87.0,74.0,53.0,71.0
14,4.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,54.0,50.0,33.0,81.0,69.0,64.0,54.0,30.0,41.0
17,24.0,17.0,28.0,19.0,9.0,21.0,29.0,30.0,26.0
18,22.0,33.0,39.0,0.0,22.0,15.0,18.0,40.0,33.0
