,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15,5,16,16,16,16,16
2,2042,32626,35481,40000,55000,55000,50000
3,22,4,36,36,22,21,10
4,2,0,3,4,0,1,0
5,0,0,2,0,1,1,0
6,934,0,1066,792,0,1879,0
7,0,0,0,0,0,0,0
8,10,1,24,41,15,29,20
9,12,3,21,8,12,6,1
10,1867,360,3197,3168,1980,1879,900
11,95,100,100,100,100,100,100
12,7,25,1,0,1,5,14
13,65,13,78,95,58,55,26
14,7,0,2,2,2,2,1
15,2,0,0,1,1,0,0
16,50,75,67,39,41,38,20
17,36,25,22,25,41,14,20
18,14,0,11,36,18,48,60
