,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.0,8.0,12.0,9.833,9.833,6.0,15.0,9.833
2,20405.0,19568.0,39263.0,40646.0,41025.0,47102.0,36232.0,36232.0
3,34.0,32.0,34.0,31.0,34.0,34.0,31.0,33.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,26.0,50.0,49.0,43.0,42.0,40.0,50.0,60.0
9,15.0,5.0,10.0,6.0,13.0,7.0,6.0,5.0
10,3060.0,2880.0,3060.0,2716.0,3060.0,3060.0,2712.0,2951.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,100.0,94.0,100.0,91.0,100.0,100.0,91.0,97.0
14,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,56.0,47.0,35.0,39.0,47.0,59.0,39.0,36.0
17,26.0,13.0,26.0,26.0,21.0,15.0,29.0,24.0
18,18.0,41.0,38.0,35.0,32.0,26.0,32.0,39.0
