,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.6,17.0,5.0,27.0,17.0,26.0
2,31423.0,32510.0,73864.0,74111.0,74111.0,205865.0
3,32.0,22.0,30.0,32.0,27.0,25.0
4,8.0,3.0,4.0,9.0,8.0,1.0
5,4.0,4.0,3.0,6.0,3.0,1.0
6,324.0,597.0,588.0,278.0,253.0,905.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,33.0,28.0,18.0,26.0,24.0,11.0
9,10.0,4.0,16.0,10.0,11.0,8.0
10,2593.0,1790.0,2353.0,2501.0,2025.0,905.0
11,97.0,95.0,87.0,94.0,89.0,32.0
12,1.0,1.0,5.0,2.0,5.0,17.0
13,94.0,65.0,88.0,94.0,79.0,81.0
14,3.0,4.0,9.0,4.0,8.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,59.0,50.0,63.0,53.0,52.0,68.0
17,22.0,18.0,27.0,34.0,26.0,12.0
18,19.0,32.0,10.0,13.0,22.0,20.0
