,2013-2014,2014-2015,2016-2017,2017-2018,2018-2019,2020-2021,2021-2022
1,5.0,3.0,3.0,10.0,18.0,2.5,8.0
2,1350.0,3179.0,3689.0,65037.0,65646.0,34585.0,34585.0
3,1.0,24.0,25.0,20.0,18.0,24.0,22.0
4,0.0,1.0,9.0,9.0,1.0,6.0,1.0
5,0.0,2.0,2.0,1.0,1.0,1.0,4.0
6,0.0,1167.0,215.0,134.0,756.0,185.0,962.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,20.0,39.0,12.0,5.0,16.0,13.0
9,0.0,5.0,3.0,8.0,7.0,8.0,6.0
10,0.0,1167.0,1932.0,1204.0,756.0,1112.0,962.0
11,0.0,42.0,92.0,75.0,50.0,54.0,55.0
12,1.0,15.0,2.0,7.0,14.0,15.0,18.0
13,3.0,71.0,74.0,59.0,53.0,75.0,65.0
14,0.0,4.0,5.0,0.0,0.0,3.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,17.0,36.0,50.0,67.0,58.0,36.0
17,0.0,38.0,20.0,25.0,28.0,21.0,18.0
18,100.0,46.0,44.0,25.0,6.0,21.0,45.0
