,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,20.0,19.0,19.0,31.0,24.0,19.0
2,31670.0,33169.0,119501.0,132412.0,299410.0,299410.0
3,19.0,28.0,24.0,16.0,28.0,30.0
4,0.0,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,2576.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,9.0,21.0,25.0,12.0,26.0,31.0
9,13.0,14.0,10.0,8.0,11.0,9.0
10,1710.0,2423.0,2005.0,1226.0,2303.0,2576.0
11,100.0,96.0,96.0,88.0,93.0,97.0
12,12.0,8.0,5.0,7.0,5.0,4.0
13,50.0,74.0,63.0,59.0,74.0,79.0
14,7.0,8.0,4.0,6.0,5.0,6.0
15,0.0,2.0,1.0,0.0,1.0,0.0
16,79.0,79.0,71.0,88.0,61.0,63.0
17,16.0,14.0,13.0,0.0,11.0,27.0
18,5.0,7.0,17.0,13.0,29.0,10.0
