,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,25.0,21.0,24.0,20.0,19.0,19.0,31.0,26.0,18.0
2,137238.0,201056.0,176813.0,125479.0,149030.0,300448.0,303313.0,265813.0,250000.0,250000.0
3,34.0,30.0,35.0,32.0,36.0,32.0,21.0,14.0,26.0,15.0
4,29.0,16.0,18.0,19.0,35.0,28.0,18.0,4.0,10.0,2.0
5,3.0,3.0,1.0,5.0,4.0,6.0,4.0,1.0,3.0,1.0
6,103.0,144.0,146.0,122.0,85.0,92.0,93.0,152.0,138.0,384.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.0,16.0,22.0,12.0,27.0,21.0,15.0,9.0,17.0,10.0
9,11.0,16.0,12.0,18.0,19.0,14.0,10.0,7.0,9.0,4.0
10,2981.0,2296.0,2627.0,2309.0,2964.0,2578.0,1671.0,607.0,1375.0,767.0
11,97.0,83.0,86.0,75.0,97.0,94.0,95.0,50.0,50.0,47.0
12,1.0,5.0,6.0,10.0,2.0,2.0,3.0,9.0,13.0,8.0
13,89.0,79.0,92.0,84.0,95.0,84.0,55.0,52.0,74.0,39.0
14,6.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,4.0,0.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,59.0,70.0,66.0,78.0,69.0,78.0,81.0,71.0,50.0,40.0
17,26.0,20.0,29.0,16.0,17.0,16.0,10.0,14.0,35.0,27.0
18,15.0,10.0,6.0,6.0,14.0,6.0,10.0,14.0,15.0,33.0
