,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,13.857,12.0,13.857,4.0,13.857,15.0,31.0,24.0,19.0
2,6094.0,27141.0,23864.0,73387.0,105074.0,135805.0,137238.0,239627.0,239627.0,239627.0
3,31.0,22.0,36.0,33.0,34.0,34.0,29.0,20.0,20.0,24.0
4,10.0,9.0,22.0,16.0,24.0,29.0,11.0,12.0,7.0,4.0
5,2.0,1.0,6.0,4.0,8.0,2.0,4.0,2.0,3.0,0.0
6,212.0,145.0,132.0,162.0,126.0,102.0,206.0,106.0,154.0,257.0
7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,29.0,10.0,36.0,29.0,46.0,24.0,21.0,16.0,12.0,13.0
9,8.0,9.0,11.0,13.0,7.0,16.0,13.0,9.0,10.0,7.0
10,2116.0,1308.0,2897.0,2586.0,3027.0,2962.0,2268.0,1268.0,1079.0,1026.0
11,77.0,55.0,92.0,97.0,100.0,100.0,83.0,70.0,55.0,42.0
12,8.0,10.0,3.0,3.0,0.0,1.0,8.0,7.0,10.0,19.0
13,82.0,58.0,95.0,87.0,89.0,89.0,76.0,87.0,53.0,63.0
14,3.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,26.0,41.0,36.0,52.0,44.0,53.0,48.0,85.0,75.0,67.0
17,26.0,41.0,33.0,18.0,15.0,32.0,28.0,10.0,10.0,17.0
18,48.0,18.0,31.0,30.0,41.0,15.0,24.0,5.0,15.0,17.0
