,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.75,13.0,7.75,2.5,7.75,7.75
2,7296.0,7559.0,12204.0,15316.0,21410.0,21410.0
3,14.0,16.0,24.0,30.0,32.0,35.0
4,0.0,0.0,2.0,1.0,3.0,5.0
5,0.0,1.0,0.0,1.0,0.0,4.0
6,0.0,0.0,495.0,1782.0,703.0,597.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,23.0,6.0,39.0,39.0,35.0
9,0.0,4.0,12.0,7.0,8.0,8.0
10,777.0,993.0,990.0,1782.0,2108.0,2983.0
11,50.0,75.0,46.0,67.0,75.0,97.0
12,25.0,14.0,25.0,13.0,11.0,1.0
13,37.0,42.0,63.0,79.0,84.0,92.0
14,6.0,4.0,7.0,5.0,3.0,10.0
15,0.0,0.0,0.0,1.0,0.0,0.0
16,21.0,38.0,46.0,30.0,22.0,37.0
17,50.0,25.0,46.0,17.0,44.0,29.0
18,29.0,38.0,8.0,53.0,34.0,34.0
