,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15.0,9.0,13.0,17.0,10.0,18.0,4.0,4.0,4.0
2,25000.0,25000.0,25231.0,52537.0,51302.0,51845.0,30468.0,24374.0,24374.0
3,17.0,10.0,8.0,14.0,7.0,3.0,9.0,24.0,29.0
4,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1412.0,0.0,697.0,562.0,0.0,0.0,0.0,919.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,19.0,10.0,6.0,14.0,7.0,1.0,16.0,32.0,43.0
9,6.0,2.0,4.0,3.0,2.0,0.0,1.0,5.0,3.0
10,1412.0,707.0,697.0,1124.0,582.0,147.0,707.0,1838.0,2301.0
11,94.0,80.0,100.0,93.0,100.0,100.0,89.0,92.0,93.0
12,1.0,11.0,27.0,18.0,21.0,8.0,6.0,8.0,10.0
13,47.0,26.0,21.0,37.0,18.0,8.0,25.0,63.0,76.0
14,1.0,2.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,59.0,20.0,75.0,71.0,86.0,33.0,33.0,54.0,38.0
17,24.0,40.0,13.0,21.0,14.0,33.0,33.0,25.0,28.0
18,18.0,40.0,13.0,7.0,0.0,33.0,33.0,21.0,34.0
