,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,7.0,4.0,17.0,16.333,16.333,2.5
2,609.0,7856.0,8119.0,24704.0,24704.0,27998.0,51549.0
3,12.0,8.0,25.0,26.0,20.0,25.0,30.0
4,0.0,0.0,2.0,2.0,7.0,1.0,3.0
5,0.0,0.0,0.0,1.0,0.0,3.0,0.0
6,0.0,0.0,852.0,865.0,228.0,1953.0,742.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,9.0,30.0,23.0,28.0,56.0,49.0
9,3.0,2.0,6.0,7.0,5.0,4.0,5.0
10,208.0,330.0,1703.0,1730.0,1599.0,1953.0,2227.0
11,17.0,50.0,64.0,77.0,95.0,96.0,90.0
12,16.0,9.0,13.0,7.0,1.0,1.0,3.0
13,35.0,24.0,74.0,76.0,59.0,74.0,88.0
14,0.0,1.0,3.0,3.0,2.0,3.0,6.0
15,0.0,0.0,0.0,2.0,0.0,0.0,0.0
16,33.0,25.0,28.0,27.0,45.0,8.0,27.0
17,33.0,13.0,28.0,27.0,30.0,12.0,13.0
18,33.0,63.0,44.0,46.0,25.0,80.0,60.0
