,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.375,12.0,11.833,11.833,12.0,7.0,11.833,12.0,7.0
2,6785.0,9552.0,45867.0,55106.0,60360.0,106737.0,106720.0,106720.0,152505.0
3,11.0,30.0,34.0,27.0,28.0,32.0,35.0,22.0,19.0
4,0.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,0.0,1268.0,0.0,2368.0,1176.0,1424.0,3091.0,1907.0,1409.0
7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,6.0,33.0,36.0,27.0,25.0,32.0,43.0,25.0,16.0
9,5.0,9.0,10.0,10.0,10.0,10.0,11.0,7.0,8.0
10,702.0,2536.0,2945.0,2368.0,2352.0,2847.0,3091.0,1907.0,1409.0
11,73.0,93.0,97.0,100.0,96.0,100.0,100.0,95.0,84.0
12,3.0,5.0,3.0,1.0,3.0,0.0,0.0,8.0,13.0
13,29.0,81.0,89.0,71.0,74.0,84.0,92.0,58.0,50.0
14,4.0,8.0,9.0,4.0,8.0,6.0,4.0,7.0,4.0
15,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
16,73.0,33.0,41.0,52.0,46.0,47.0,49.0,64.0,63.0
17,9.0,40.0,32.0,22.0,29.0,28.0,23.0,18.0,26.0
18,18.0,27.0,26.0,26.0,25.0,25.0,29.0,18.0,11.0
