,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,11.0,17.0,16.0,16.0,16.0,16.0,16.0
2,5484.0,10046.0,30000.0,50000.0,50000.0,50000.0,50000.0
3,22.0,13.0,42.0,35.0,38.0,36.0,33.0
4,1.0,1.0,6.0,4.0,2.0,5.0,4.0
5,0.0,0.0,1.0,3.0,2.0,1.0,2.0
6,1237.0,635.0,602.0,752.0,1528.0,535.0,665.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10.0,3.0,34.0,43.0,35.0,42.0,34.0
9,9.0,9.0,22.0,8.0,13.0,9.0,10.0
10,1237.0,635.0,3609.0,3008.0,3056.0,2674.0,2661.0
11,59.0,46.0,100.0,97.0,92.0,86.0,94.0
12,19.0,23.0,0.0,3.0,3.0,6.0,2.0
13,65.0,38.0,91.0,92.0,100.0,95.0,87.0
14,6.0,4.0,12.0,8.0,8.0,7.0,9.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,77.0,62.0,67.0,40.0,39.0,31.0,39.0
17,9.0,38.0,19.0,23.0,37.0,25.0,15.0
18,14.0,0.0,14.0,37.0,24.0,44.0,45.0
