,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,7.833,7.833,7.833,7.833,21.0
2,5000.0,1000.0,60000.0,60000.0,60000.0,60000.0
3,1.0,26.0,34.0,38.0,32.0,36.0
4,0.0,0.0,2.0,1.0,2.0,1.0
5,0.0,0.0,0.0,3.0,1.0,4.0
6,0.0,0.0,1502.0,3420.0,1440.0,3179.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,29.0,47.0,62.0,37.0,49.0
9,0.0,6.0,6.0,7.0,11.0,8.0
10,0.0,1429.0,3003.0,3420.0,2880.0,3179.0
11,0.0,58.0,100.0,100.0,100.0,97.0
12,6.0,21.0,2.0,0.0,0.0,1.0
13,3.0,68.0,89.0,100.0,84.0,95.0
14,0.0,1.0,4.0,6.0,2.0,8.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,100.0,31.0,41.0,26.0,50.0,42.0
17,0.0,31.0,21.0,24.0,25.0,22.0
18,0.0,38.0,38.0,50.0,25.0,36.0
