,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,2.0,2.0,22.0,1.5,27.0,24.0,20.0,15.0
2,66.0,3014.0,4331.0,9272.0,12451.0,422765.0,102768.0,308962.0
3,1.0,15.0,4.0,22.0,31.0,29.0,37.0,32.0
4,0.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0
5,0.0,0.0,0.0,7.0,3.0,2.0,4.0,3.0
6,0.0,644.0,152.0,0.0,837.0,1058.0,1051.0,825.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,17.0,1.0,16.0,29.0,26.0,35.0,30.0
9,1.0,3.0,2.0,8.0,13.0,9.0,14.0,8.0
10,23.0,1287.0,152.0,1542.0,2510.0,2115.0,3153.0,2476.0
11,0.0,100.0,25.0,73.0,97.0,83.0,95.0,94.0
12,1.0,1.0,16.0,9.0,3.0,6.0,2.0,3.0
13,3.0,83.0,14.0,65.0,91.0,76.0,97.0,84.0
14,0.0,0.0,0.0,2.0,0.0,2.0,5.0,6.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
16,100.0,40.0,100.0,68.0,81.0,66.0,65.0,59.0
17,0.0,27.0,0.0,18.0,6.0,14.0,19.0,22.0
18,0.0,33.0,0.0,14.0,13.0,21.0,16.0,19.0
