,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,2.5,25.0,15.0,20.0
2,6522.0,19697.0,38077.0,31621.0,39526.0
3,26.0,31.0,13.0,22.0,18.0
4,2.0,3.0,1.0,2.0,0.0
5,5.0,6.0,0.0,0.0,1.0
6,931.0,914.0,481.0,620.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,26.0,54.0,12.0,24.0,9.0
9,6.0,7.0,4.0,5.0,5.0
10,1862.0,2741.0,481.0,1239.0,988.0
11,73.0,100.0,31.0,59.0,56.0
12,7.0,0.0,9.0,11.0,11.0
13,76.0,91.0,93.0,65.0,60.0
14,4.0,6.0,0.0,3.0,2.0
15,0.0,0.0,1.0,0.0,0.0
16,31.0,32.0,23.0,32.0,61.0
17,38.0,29.0,31.0,27.0,17.0
18,31.0,39.0,46.0,41.0,22.0
