,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,10.0,10.0,27.0,26.0
2,8679.0,9322.0,12072.0,31456.0,46114.0,46114.0
3,25.0,8.0,35.0,35.0,5.0,9.0
4,0.0,0.0,1.0,2.0,0.0,0.0
5,1.0,0.0,2.0,1.0,0.0,0.0
6,0.0,0.0,3113.0,1504.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,19.0,3.0,44.0,52.0,5.0,2.0
9,8.0,2.0,10.0,6.0,0.0,5.0
10,1323.0,264.0,3113.0,3008.0,176.0,394.0
11,56.0,25.0,100.0,100.0,40.0,44.0
12,20.0,23.0,1.0,0.0,24.0,20.0
13,66.0,21.0,92.0,92.0,16.0,26.0
14,5.0,0.0,9.0,8.0,1.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,52.0,63.0,40.0,14.0,60.0,78.0
17,24.0,25.0,29.0,26.0,20.0,11.0
18,24.0,13.0,31.0,60.0,20.0,11.0
