,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,29.0,21.0,5.0,25.0,22.0,25.0,25.0,35.0,27.0
2,1614.0,13620.0,13785.0,20735.0,100000.0,150000.0,150000.0,150000.0,150000.0
3,1.0,32.0,32.0,37.0,35.0,36.0,34.0,26.0,35.0
4,0.0,9.0,7.0,8.0,6.0,7.0,6.0,2.0,8.0
5,0.0,3.0,1.0,9.0,3.0,7.0,6.0,6.0,4.0
6,0.0,254.0,320.0,348.0,255.0,408.0,338.0,1033.0,357.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,9.0,35.0,25.0,10.0,22.0,24.0,18.0,23.0
9,0.0,18.0,10.0,16.0,17.0,18.0,16.0,13.0,20.0
10,9.0,2283.0,2242.0,2780.0,1532.0,2854.0,2027.0,2066.0,2858.0
11,0.0,78.0,69.0,89.0,43.0,86.0,68.0,92.0,94.0
12,1.0,11.0,10.0,4.0,23.0,6.0,14.0,12.0,5.0
13,4.0,84.0,84.0,97.0,92.0,95.0,89.0,68.0,92.0
14,0.0,1.0,6.0,3.0,0.0,3.0,5.0,5.0,6.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,56.0,41.0,78.0,83.0,83.0,65.0,77.0,77.0
17,0.0,28.0,38.0,14.0,11.0,6.0,9.0,12.0,17.0
18,100.0,16.0,22.0,8.0,6.0,11.0,26.0,12.0,6.0
