,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,23.0,21.0,22.0,21.0,20.0
2,29463.0,30501.0,76252.0,76252.0,76252.0
3,20.0,31.0,30.0,33.0,17.0
4,0.0,2.0,0.0,0.0,0.0
5,0.0,3.0,7.0,4.0,4.0
6,0.0,1002.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,7.0,16.0,27.0,25.0,12.0
9,10.0,15.0,10.0,7.0,7.0
10,580.0,2003.0,2196.0,2344.0,1361.0
11,25.0,68.0,83.0,82.0,94.0
12,32.0,13.0,9.0,7.0,1.0
13,53.0,82.0,79.0,87.0,94.0
14,0.0,7.0,9.0,7.0,5.0
15,0.0,1.0,0.0,1.0,0.0
16,70.0,77.0,63.0,58.0,59.0
17,25.0,10.0,17.0,24.0,12.0
18,5.0,13.0,20.0,18.0,29.0
