,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,14.0,23.0,17.0,19.0,19.0
2,4957.0,13011.0,13126.0,13175.0,13175.0,13175.0
3,22.0,12.0,22.0,21.0,26.0,29.0
4,1.0,1.0,2.0,0.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0
6,1929.0,730.0,790.0,0.0,2079.0,0.0
7,0.0,0.0,0.0,0.0,0.0,2.0
8,28.0,17.0,18.0,23.0,33.0,35.0
9,6.0,2.0,8.0,5.0,4.0,11.0
10,1929.0,730.0,1580.0,1443.0,2079.0,1947.0
11,100.0,67.0,73.0,71.0,92.0,72.0
12,3.0,25.0,15.0,16.0,5.0,12.0
13,65.0,32.0,58.0,55.0,68.0,76.0
14,5.0,2.0,9.0,5.0,4.0,11.0
15,0.0,0.0,0.0,0.0,1.0,0.0
16,55.0,42.0,45.0,48.0,23.0,31.0
17,14.0,42.0,36.0,24.0,31.0,38.0
18,32.0,17.0,18.0,29.0,46.0,31.0
