,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.833,6.833,12.833,12.833,7.0
2,15316.0,4117.0,13834.0,18610.0,21081.0
3,27.0,18.0,21.0,24.0,10.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,3.0,0.0,3.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,1.0,0.0,0.0
8,37.0,26.0,38.0,16.0,9.0
9,5.0,5.0,3.0,8.0,4.0
10,2055.0,1594.0,1678.0,661.0,444.0
11,93.0,100.0,86.0,25.0,50.0
12,9.0,0.0,7.0,27.0,27.0
13,71.0,90.0,75.0,63.0,26.0
14,5.0,4.0,4.0,2.0,2.0
15,1.0,0.0,0.0,0.0,0.0
16,30.0,28.0,33.0,67.0,80.0
17,19.0,39.0,24.0,13.0,10.0
18,52.0,33.0,43.0,21.0,10.0
