,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.429,20.0,15.0,19.0,19.0,23.0,17.0,19.0,19.0
2,8959.0,50000.0,50000.0,50000.0,59372.0,59948.0,59948.0,87781.0,87781.0
3,18.0,6.0,21.0,19.0,30.0,30.0,33.0,31.0,19.0
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
6,0.0,0.0,1763.0,0.0,0.0,0.0,2802.0,679.0,796.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,17.0,4.0,16.0,18.0,27.0,28.0,45.0,44.0,17.0
9,5.0,1.0,11.0,5.0,9.0,9.0,7.0,5.0,9.0
10,1518.0,350.0,1763.0,1517.0,2584.0,2623.0,2802.0,2716.0,1592.0
11,94.0,67.0,86.0,79.0,97.0,100.0,94.0,100.0,100.0
12,1.0,7.0,17.0,17.0,4.0,3.0,4.0,0.0,2.0
13,47.0,38.0,55.0,50.0,79.0,79.0,87.0,82.0,50.0
14,5.0,0.0,4.0,6.0,6.0,6.0,5.0,6.0,2.0
15,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,39.0,100.0,48.0,58.0,60.0,37.0,36.0,26.0,32.0
17,33.0,0.0,33.0,11.0,17.0,43.0,30.0,32.0,47.0
18,28.0,0.0,19.0,32.0,23.0,20.0,33.0,42.0,21.0
