,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,18.0,18.0,22.0,10.0
2,3821.0,3854.0,3788.0,3788.0,3788.0
3,11.0,17.0,15.0,9.0,15.0
4,1.0,2.0,1.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0
6,656.0,634.0,981.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,10.0,21.0,12.0,5.0,17.0
9,5.0,6.0,8.0,3.0,4.0
10,656.0,1267.0,981.0,276.0,952.0
11,55.0,88.0,67.0,33.0,67.0
12,16.0,6.0,15.0,7.0,8.0
13,32.0,50.0,44.0,26.0,44.0
14,0.0,5.0,1.0,0.0,2.0
15,1.0,0.0,0.0,0.0,0.0
16,45.0,76.0,67.0,56.0,60.0
17,27.0,12.0,13.0,22.0,7.0
18,27.0,12.0,20.0,22.0,33.0
