,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,35.0,29.0,33.0,33.0,32.0,19.0,17.0,26.0,30.0
2,163375.0,225019.0,216241.0,260757.0,269881.0,272467.0,298422.0,298587.0,395261.0
3,35.0,29.0,27.0,29.0,32.0,36.0,37.0,34.0,32.0
4,17.0,15.0,24.0,11.0,5.0,21.0,21.0,23.0,27.0
5,9.0,10.0,7.0,5.0,10.0,6.0,8.0,9.0,12.0
6,162.0,153.0,82.0,173.0,430.0,141.0,150.0,126.0,96.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,30.0,21.0,20.0,22.0,29.0,39.0,22.0,24.0,23.0
9,14.0,12.0,10.0,7.0,9.0,12.0,18.0,16.0,14.0
10,2751.0,2291.0,1979.0,1903.0,2149.0,2952.0,3146.0,2895.0,2587.0
11,97.0,100.0,96.0,79.0,78.0,97.0,97.0,97.0,97.0
12,1.0,2.0,1.0,9.0,7.0,1.0,2.0,1.0,2.0
13,92.0,76.0,71.0,76.0,84.0,95.0,97.0,89.0,84.0
14,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,71.0,76.0,74.0,69.0,59.0,56.0,68.0,71.0,75.0
17,17.0,3.0,15.0,21.0,28.0,14.0,24.0,21.0,19.0
18,11.0,21.0,11.0,10.0,13.0,31.0,8.0,9.0,6.0
