,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22,17,20,19,22,26,18
2,3393,6275,75000,75000,120000,120000,120000
3,15,32,17,30,35,29,28
4,1,1,0,1,1,1,0
5,0,0,0,1,0,1,2
6,1292,2880,0,2601,3092,2585,0
7,0,0,0,1,1,0,0
8,9,15,14,40,32,30,47
9,7,20,6,6,12,10,6
10,1292,2880,1283,2601,3092,2585,2356
11,93,100,76,97,100,100,93
12,8,1,13,3,0,5,7
13,44,94,45,79,92,76,74
14,3,1,1,1,6,0,4
15,0,0,0,0,0,0,0
16,93,75,59,47,49,55,39
17,0,19,24,23,34,34,21
18,7,6,18,30,17,10,39
