,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,3.75,1.5,21.875,30.0,29.0,18.0,24.0,33.0
2,45000.0,45000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
3,30.0,37.0,27.0,29.0,36.0,35.0,35.0,34.0
4,10.0,11.0,13.0,10.0,22.0,18.0,11.0,16.0
5,3.0,6.0,5.0,7.0,1.0,8.0,7.0,2.0
6,213.0,236.0,172.0,219.0,140.0,153.0,256.0,176.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.0,32.0,26.0,20.0,21.0,27.0,28.0,24.0
9,10.0,11.0,7.0,12.0,20.0,12.0,12.0,19.0
10,2133.0,2599.0,2242.0,2191.0,3077.0,2749.0,2812.0,2820.0
11,80.0,81.0,96.0,97.0,97.0,89.0,89.0,94.0
12,7.0,8.0,1.0,4.0,1.0,5.0,4.0,2.0
13,86.0,97.0,71.0,76.0,95.0,92.0,92.0,89.0
14,5.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0
15,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
16,40.0,46.0,63.0,55.0,78.0,83.0,54.0,71.0
17,17.0,24.0,26.0,31.0,19.0,9.0,26.0,24.0
18,43.0,30.0,11.0,14.0,3.0,9.0,20.0,6.0
