,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,18.0,14.222,11.0,18.0,33.0,25.0
2,3689.0,24391.0,24621.0,32938.0,140000.0,150000.0
3,24.0,30.0,34.0,30.0,27.0,29.0
4,4.0,3.0,17.0,12.0,4.0,8.0
5,6.0,7.0,3.0,6.0,3.0,3.0
6,363.0,714.0,170.0,205.0,380.0,226.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,27.0,31.0,49.0,35.0,15.0,17.0
9,4.0,9.0,9.0,10.0,12.0,13.0
10,1453.0,2143.0,2894.0,2455.0,1519.0,1808.0
11,63.0,73.0,97.0,97.0,67.0,76.0
12,12.0,11.0,1.0,2.0,13.0,13.0
13,71.0,88.0,100.0,88.0,71.0,76.0
14,2.0,3.0,2.0,3.0,1.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,33.0,43.0,53.0,60.0,37.0,59.0
17,29.0,30.0,12.0,13.0,30.0,24.0
18,38.0,27.0,35.0,27.0,33.0,17.0
