,2014-2015,2015-2016,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,6.833,5.25,5.25,36.0,27.0,26.0
2,478.0,1861.0,19565.0,19763.0,82346.0,82346.0,82346.0
3,8.0,13.0,34.0,29.0,32.0,24.0,25.0
4,0.0,0.0,1.0,0.0,5.0,0.0,0.0
5,0.0,0.0,0.0,0.0,4.0,0.0,1.0
6,0.0,0.0,3060.0,0.0,558.0,0.0,0.0
7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,10.0,6.0,36.0,57.0,28.0,27.0,25.0
9,2.0,6.0,12.0,6.0,15.0,7.0,8.0
10,512.0,633.0,3060.0,2610.0,2790.0,1943.0,2076.0
11,63.0,46.0,100.0,100.0,97.0,92.0,96.0
12,7.0,22.0,0.0,0.0,2.0,8.0,4.0
13,40.0,34.0,100.0,85.0,94.0,71.0,74.0
14,2.0,3.0,2.0,3.0,5.0,3.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,38.0,23.0,44.0,21.0,78.0,71.0,72.0
17,13.0,54.0,18.0,24.0,13.0,17.0,12.0
18,50.0,23.0,38.0,55.0,9.0,13.0,16.0
