,2015-2016,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,1.0,5.0,26.0,19.0,12.0
2,543.0,1630.0,8284.0,18116.0,18116.0,18116.0
3,8.0,18.0,37.0,29.0,34.0,32.0
4,0.0,2.0,0.0,1.0,2.0,1.0
5,0.0,0.0,1.0,1.0,1.0,1.0
6,0.0,795.0,0.0,2309.0,1488.0,2736.0
7,1.0,0.0,0.0,0.0,0.0,0.0
8,12.0,19.0,41.0,22.0,28.0,25.0
9,1.0,5.0,10.0,14.0,17.0,15.0
10,720.0,1589.0,3330.0,2309.0,2975.0,2736.0
11,100.0,94.0,100.0,86.0,97.0,97.0
12,0.0,2.0,0.0,12.0,2.0,1.0
13,27.0,95.0,97.0,76.0,89.0,84.0
14,1.0,1.0,4.0,6.0,4.0,2.0
15,0.0,0.0,0.0,0.0,0.0,2.0
16,25.0,61.0,27.0,55.0,68.0,47.0
17,25.0,6.0,30.0,38.0,15.0,41.0
18,50.0,33.0,43.0,7.0,18.0,13.0
