,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.375,17.375,9.0,12.0,10.0,21.0,26.0,16.0,15.0,12.0
2,36595.0,66000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,43314.0
3,33.0,9.0,33.0,34.0,9.0,25.0,19.0,25.0,23.0,20.0
4,15.0,0.0,2.0,5.0,1.0,2.0,4.0,2.0,1.0,5.0
5,5.0,1.0,7.0,9.0,1.0,2.0,2.0,1.0,0.0,2.0
6,173.0,0.0,1150.0,474.0,595.0,422.0,244.0,606.0,717.0,203.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42.0,12.0,30.0,26.0,2.0,12.0,12.0,12.0,17.0,5.0
9,7.0,3.0,9.0,12.0,5.0,10.0,5.0,7.0,5.0,10.0
10,2596.0,331.0,2300.0,2370.0,595.0,843.0,974.0,1212.0,717.0,1015.0
11,91.0,33.0,76.0,82.0,67.0,28.0,47.0,48.0,22.0,50.0
12,3.0,6.0,10.0,8.0,3.0,18.0,14.0,15.0,23.0,11.0
13,89.0,25.0,87.0,89.0,24.0,66.0,50.0,66.0,61.0,53.0
14,6.0,1.0,6.0,8.0,1.0,4.0,2.0,2.0,4.0,5.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,42.0,56.0,45.0,50.0,56.0,64.0,63.0,40.0,43.0,50.0
17,21.0,11.0,21.0,32.0,44.0,20.0,11.0,32.0,22.0,35.0
18,36.0,33.0,33.0,18.0,0.0,16.0,26.0,28.0,35.0,15.0
