,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.75,13.857,12.0,13.857,4.0,13.857,15.0,25.0,9.0,18.0
2,9766.0,8679.0,26252.0,25231.0,35030.0,48288.0,51845.0,60936.0,60936.0,60936.0
3,28.0,11.0,23.0,20.0,32.0,34.0,30.0,21.0,19.0,20.0
4,2.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0
5,4.0,0.0,2.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0
6,983.0,0.0,0.0,809.0,943.0,1491.0,1290.0,342.0,232.0,1000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,29.0,6.0,20.0,18.0,40.0,28.0,29.0,9.0,11.0,3.0
9,10.0,5.0,6.0,6.0,9.0,15.0,12.0,12.0,6.0,10.0
10,1966.0,643.0,1686.0,1617.0,2829.0,2981.0,2579.0,1368.0,696.0,1000.0
11,79.0,73.0,83.0,90.0,100.0,100.0,97.0,71.0,37.0,45.0
12,6.0,3.0,10.0,16.0,6.0,1.0,8.0,15.0,25.0,29.0
13,74.0,65.0,61.0,53.0,84.0,89.0,79.0,55.0,50.0,53.0
14,4.0,0.0,8.0,3.0,4.0,6.0,6.0,6.0,2.0,2.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,21.0,36.0,26.0,55.0,56.0,56.0,47.0,71.0,79.0,65.0
17,43.0,36.0,39.0,10.0,13.0,26.0,30.0,19.0,11.0,25.0
18,36.0,27.0,35.0,35.0,31.0,18.0,23.0,10.0,11.0,10.0
