,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,11.0,18.0,22.0,25.0,25.0,27.0,26.0
2,675.0,31374.0,95000.0,95000.0,95000.0,90000.0,329384.0,329384.0
3,13.0,33.0,26.0,32.0,31.0,1.0,32.0,32.0
4,3.0,8.0,5.0,10.0,10.0,0.0,6.0,7.0
5,1.0,6.0,3.0,15.0,10.0,0.0,9.0,7.0
6,203.0,289.0,356.0,242.0,187.0,0.0,304.0,283.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,42.0,15.0,22.0,14.0,0.0,31.0,21.0
9,3.0,8.0,10.0,15.0,16.0,1.0,9.0,11.0
10,608.0,2314.0,1781.0,2420.0,1866.0,12.0,1824.0,1978.0
11,54.0,70.0,77.0,84.0,68.0,0.0,56.0,69.0
12,14.0,11.0,11.0,7.0,16.0,3.0,14.0,10.0
13,38.0,97.0,68.0,84.0,82.0,3.0,94.0,94.0
14,0.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,31.0,42.0,58.0,84.0,81.0,100.0,69.0,75.0
17,31.0,21.0,31.0,9.0,6.0,0.0,19.0,13.0
18,38.0,36.0,12.0,6.0,13.0,0.0,13.0,13.0
