,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,8.5,14,8.5,8.5,3,10,11,11
2,0,20000,20000,20000,20000,11117,11528,14822
3,2,7,13,20,0,5,33,18
4,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,2,6,20,20,0,5,48,25
9,0,3,3,10,0,1,5,6
10,157,585,1170,1737,0,450,2887,1620
11,50,86,100,95,0,100,100,100
12,2,32,25,19,30,33,4,20
13,5,18,34,53,0,13,87,47
14,0,1,1,2,0,0,3,2
15,0,0,0,0,0,0,1,0
16,50,14,23,60,0,40,27,50
17,0,43,23,20,0,20,33,11
18,50,43,54,20,0,40,39,39
