,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,2.5,2.5,12.0,10.0,21.0,26.0,22.0,16.0,19.0
2,5000.0,18000.0,35000.0,35000.0,40000.0,65000.0,32938.0,32938.0,100000.0
3,41.0,38.0,6.0,12.0,24.0,27.0,25.0,28.0,6.0
4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
5,0.0,4.0,1.0,5.0,5.0,3.0,4.0,6.0,0.0
6,3677.0,0.0,459.0,0.0,0.0,2276.0,0.0,0.0,215.0
7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,34.0,53.0,4.0,3.0,21.0,23.0,15.0,13.0,5.0
9,16.0,10.0,1.0,4.0,9.0,10.0,11.0,16.0,2.0
10,3677.0,3415.0,459.0,565.0,1915.0,2276.0,1979.0,2475.0,430.0
11,100.0,100.0,83.0,50.0,88.0,96.0,92.0,100.0,83.0
12,0.0,0.0,29.0,23.0,14.0,5.0,10.0,0.0,2.0
13,89.0,100.0,16.0,32.0,63.0,71.0,66.0,74.0,32.0
14,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,56.0,18.0,83.0,83.0,54.0,67.0,52.0,68.0,67.0
17,34.0,32.0,0.0,8.0,25.0,4.0,40.0,21.0,17.0
18,10.0,50.0,17.0,8.0,21.0,30.0,8.0,11.0,17.0
