,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,12.833,21,5,20,19,19,31,24
2,12698,3261,78426,94583,97877,98815,82346,52537
3,28,27,16,18,20,19,14,19
4,5,0,3,2,2,1,1,1
5,3,4,5,2,1,2,1,1
6,480,0,430,764,852,1008,857,1280
7,0,0,0,0,0,0,0,0
8,20,15,8,14,14,13,7,11
9,13,15,8,9,10,7,7,10
10,2401,2206,1290,1527,1704,1008,857,1280
11,100,93,88,100,95,58,64,79
12,0,4,18,4,11,11,9,10
13,74,71,46,47,53,50,52,50
14,2,1,1,3,2,4,4,4
15,0,0,0,0,0,0,0,1
16,64,52,75,67,75,68,86,63
17,25,30,25,17,20,11,0,11
18,11,19,0,17,5,21,14,26
