,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,19.0,19.0,19.0,19.0
2,16469.0,16469.0,16469.0,22233.0,22233.0
3,20.0,31.0,30.0,34.0,37.0
4,1.0,6.0,0.0,10.0,4.0
5,1.0,7.0,2.0,0.0,4.0
6,945.0,392.0,0.0,267.0,756.0
7,0.0,0.0,0.0,0.0,0.0
8,17.0,44.0,21.0,41.0,33.0
9,3.0,8.0,9.0,9.0,14.0
10,945.0,2350.0,1471.0,2671.0,3023.0
11,60.0,87.0,50.0,88.0,97.0
12,21.0,7.0,22.0,7.0,1.0
13,53.0,82.0,79.0,89.0,97.0
14,0.0,5.0,4.0,7.0,8.0
15,0.0,0.0,0.0,0.0,0.0
16,30.0,23.0,20.0,41.0,32.0
17,35.0,29.0,43.0,32.0,24.0
18,35.0,48.0,37.0,26.0,43.0
